scheme_code,file_name,num_rows,years_covered,cagr,volatility,sharpe_ratio,max_drawdown,fund_name,category,risk_type
118955,HDFC_Flexi_Cap_Fund,732,2.98,0.2019,0.1089,1.3023,-0.123,HDFC Flexi Cap Fund,flexi_cap,
120512,Kotak_Debt_Hybrid_Fund,726,2.98,-0.0004,0.0123,-4.8951,-0.0082,Kotak Debt Hybrid Fund,debt,
149870,HDFC_NIFTY_100_Equal_Weight_Index_Fund,732,2.98,0.1838,0.1427,0.8672,-0.216,HDFC NIFTY 100 Equal Weight Index Fund,large_cap,
119369,Bank_of_India_Liquid_Fund,803,2.99,0.0701,0.0024,4.2024,-0.0002,Bank of India Liquid Fund,liquid,
147833,Bank_of_India_Flexi_Cap_Fund,726,2.98,0.0938,0.0502,0.6735,-0.0755,Bank of India Flexi Cap Fund,flexi_cap,
120251,ICICI_Pru_Equity__Debt_Fund,732,2.98,0.1841,0.0914,1.3569,-0.1118,ICICI Pru Equity & Debt Fund,hybrid,
119354,Baroda_BNP_Paribas_Multi_Cap_Fund,732,2.98,0.1792,0.1417,0.841,-0.194,Baroda BNP Paribas Multi Cap Fund,multi_cap,
150584,WhiteOak_Capital_Large_Cap_Fund,732,2.98,0.2623,0.1503,1.3463,-0.1933,WhiteOak Capital Large Cap Fund,large_cap,
100033,Sundaram_Nifty_100_Equal_Weight_Fund,732,2.98,0.1413,0.1405,0.5786,-0.2077,Sundaram Nifty 100 Equal Weight Fund,large_cap,
119066,Nippon_India_Small_Cap_Fund,732,2.98,0.124,0.0893,0.7162,-0.1239,Nippon India Small Cap Fund,small_cap,
120448,SBI_Multi_Asset_Allocation_Fund,726,2.98,0.0533,0.0321,-0.2088,-0.0296,SBI Multi Asset Allocation Fund,multi_asset,
150915,Mahindra_Manulife_Small_Cap_Fund,732,2.98,0.2356,0.1736,1.0116,-0.26,Mahindra Manulife Small Cap Fund,small_cap,
119107,Invesco_India_Mid_Cap_Fund,722,2.98,0.0039,0.0191,-2.9349,-0.0074,Invesco India Mid Cap Fund,mid_cap,
122639,Parag_Parikh_Flexi_Cap_Fund,731,2.98,0.1887,0.0945,1.3612,-0.0846,Parag Parikh Flexi Cap Fund,flexi_cap,
118942,ICICI_Prudential_Smallcap_Fund,720,2.98,0.0775,0.0044,3.9362,-0.0012,ICICI Prudential Smallcap Fund,small_cap,
119089,SBI_Equity_Hybrid_Fund,909,2.99,0.0,0.0002,-266.4918,-0.0002,SBI Equity Hybrid Fund,hybrid,
148941,SBI_Multicap_Fund,823,2.53,0.0731,0.0038,3.4368,-0.001,SBI Multicap Fund,multi_cap,
120726,UTI_Mid_Cap_Fund,732,2.98,0.1727,0.1419,0.7939,-0.2266,UTI Mid Cap Fund,mid_cap,
148946,Kotak_Multicap_Fund,740,2.98,0.203,0.1719,0.8317,-0.265,Kotak Multicap Fund,multi_cap,
120603,ICICI_Pru_All_Seasons_Bond_Fund,719,2.98,0.0822,0.0128,1.7265,-0.0083,ICICI Pru All Seasons Bond Fund,debt,
125307,PGIM_India_Midcap_Fund,732,2.98,0.132,0.14,0.5146,-0.1913,PGIM India Midcap Fund,mid_cap,
127042,Motilal_Oswal_Midcap_Fund,732,2.98,0.2008,0.163,0.8636,-0.2738,Motilal Oswal Midcap Fund,mid_cap,
120616,ICICI_Pru_Regular_Savings_Fund,719,2.98,0.1051,0.0284,1.5863,-0.0212,ICICI Pru Regular Savings Fund,hybrid,
120599,ICICI_Prudential_Multicap_Fund,732,2.98,0.1939,0.1217,1.0999,-0.1725,ICICI Prudential Multicap Fund,multi_cap,
119063,Nippon_India_Large_Cap_Fund,732,2.98,0.117,0.1221,0.467,-0.1552,Nippon India Large Cap Fund,large_cap,
119060,HDFC_ELSS_Tax_Saver_Fund,732,2.98,0.1889,0.1134,1.1366,-0.1447,HDFC ELSS Tax Saver Fund,elss,
133386,Motilal_Oswal_ELSS_Tax_Saver_Fund,732,2.98,0.2223,0.1809,0.8974,-0.2771,Motilal Oswal ELSS Tax Saver Fund,elss,
119533,Aditya_Birla_SL_Corporate_Bond,720,2.98,0.0768,0.0112,1.5053,-0.0076,Aditya Birla SL Corporate Bond,debt,
119020,DSP_Large_Cap_Fund,732,2.98,0.1151,0.09,0.6115,-0.1142,DSP Large Cap Fund,large_cap,
